model,accuracy,f1_macro,f1_weighted,f1_fake,f1_nuanced,f1_real
RF — baseline,0.5651,0.5697,0.5616,0.6431,0.4874,0.5786
RF — extended,0.5635,0.5677,0.5605,0.6325,0.4926,0.578
RF — piste1 (subj text),0.5588,0.5642,0.5554,0.6461,0.4813,0.5654
RF — piste2 (min_df=2),0.5556,0.5603,0.5515,0.6402,0.4744,0.5661
XGBoost — baseline,0.5556,0.5577,0.5504,0.6239,0.4824,0.5668
XGBoost — piste1 (subj text),0.5501,0.552,0.5435,0.6304,0.4672,0.5584
LR — piste2 (min_df=2),0.5375,0.5454,0.5346,0.6537,0.4727,0.5098
LR — baseline,0.5375,0.5442,0.5338,0.6465,0.4705,0.5156
LR — extended,0.5375,0.5437,0.5338,0.639,0.4658,0.5262
XGBoost — extended,0.5406,0.5431,0.5348,0.6166,0.4507,0.562
LR — piste1 (subj text),0.5304,0.5368,0.5259,0.644,0.4561,0.5103
XGBoost — piste2 (min_df=2),0.532,0.5338,0.5249,0.615,0.4407,0.5458
